Algorithm: Kruskal's MST
MST edges:
15465 24144 1
15494 46575 1
15572 38277 1
15575 18760 1
15595 31193 1
15596 47346 1
15598 45151 1
15612 35767 1
15630 26170 1
15706 47555 1
15716 46176 1
15717 34784 1
15778 36617 1
15810 31678 1
15817 43825 1
15831 29359 1
15841 29275 1
15868 34992 1
15896 45931 1
15922 43975 1
15995 45503 1
16000 21006 1
16037 26983 1
16067 22170 1
16072 24349 1
16091 23559 1
16122 17735 1
16130 28382 1
16147 47581 1
16174 28249 1
16181 26889 1
16266 35798 1
16272 27276 1
16278 31634 1
16284 42036 1
16299 22506 1
16299 24007 1
16344 43905 1
16383 29662 1
16415 42481 1
16533 46925 1
16552 28035 1
16553 31365 1
16555 23944 1
16559 46177 1
16601 45151 1
16643 23534 1
16682 25150 1
16695 28500 1
16721 37272 1
16763 49218 1
16803 31991 1
16839 39068 1
16879 19699 1
16932 41146 1
16942 22481 1
16964 46379 1
16967 32862 1
17022 48175 1
17039 49514 1
17059 49748 1
17089 33278 1
17154 45353 1
17160 31836 1
17174 23726 1
17211 21762 1
17252 38893 1
17281 17894 1
17288 21597 1
17306 25202 1
17308 21886 1
17323 28109 1
17347 22184 1
17363 37506 1
17428 33811 1
17456 18392 1
17462 31817 1
17528 38571 1
17580 26223 1
17610 37305 1
17663 19512 1
17699 24143 1
17725 32053 1
17735 37613 1
17778 28689 1
17797 30461 1
17825 44461 1
17881 32831 1
17884 47470 1
17946 26430 1
17948 47300 1
17987 18326 1
17991 48779 1
18031 20156 1
18067 24971 1
18118 46416 1
18124 27901 1
18153 44263 1
18215 32324 1
18270 43627 1
18275 24829 1
18291 22708 1
18313 37515 1
18345 34502 1
18391 28653 1
18414 20267 1
18428 26804 1
18458 39160 1
18482 35079 1
18493 42331 1
18534 37221 1
18546 22681 1
18556 37460 1
18557 36778 1
18609 42472 1
18702 30958 1
18716 38163 1
18729 38067 1
18779 44250 1
18786 25602 1
18790 20170 1
18796 29491 1
18854 49146 1
18856 40649 1
18861 48312 1
18864 47081 1
18878 27738 1
18885 43526 1
18889 48860 1
18898 31708 1
18906 33561 1
18925 23851 1
18931 21588 1
18990 20519 1
19016 21388 1
19017 27376 1
19045 31048 1
19059 43531 1
19060 24224 1
19124 26020 1
19154 27212 1
19173 46327 1
19190 47221 1
19289 35570 1
19317 30641 1
19411 27249 1
19420 39001 1
19420 39452 1
19459 34408 1
19493 22469 1
19493 25399 1
19534 40840 1
19555 27739 1
19583 20251 1
19584 49778 1
